item,condition,critical_region
1,PLUS_FILLER_PLUS_GAP,soon
1,MINUS_FILLER_PLUS_GAP,soon
1,PLUS_FILLER_MINUS_GAP,Kim
1,MINUS_FILLER_MINUS_GAP,Kim
2,PLUS_FILLER_PLUS_GAP,soon
2,MINUS_FILLER_PLUS_GAP,soon
2,PLUS_FILLER_MINUS_GAP,you
2,MINUS_FILLER_MINUS_GAP,you
3,PLUS_FILLER_PLUS_GAP,soon
3,MINUS_FILLER_PLUS_GAP,soon
3,PLUS_FILLER_MINUS_GAP,us
3,MINUS_FILLER_MINUS_GAP,us
4,PLUS_FILLER_PLUS_GAP,soon
4,MINUS_FILLER_PLUS_GAP,soon
4,PLUS_FILLER_MINUS_GAP,Kim
4,MINUS_FILLER_MINUS_GAP,Kim
5,PLUS_FILLER_PLUS_GAP,soon
5,MINUS_FILLER_PLUS_GAP,soon
5,PLUS_FILLER_MINUS_GAP,you
5,MINUS_FILLER_MINUS_GAP,you
6,PLUS_FILLER_PLUS_GAP,soon
6,MINUS_FILLER_PLUS_GAP,soon
6,PLUS_FILLER_MINUS_GAP,us
6,MINUS_FILLER_MINUS_GAP,us
7,PLUS_FILLER_PLUS_GAP,eventually
7,MINUS_FILLER_PLUS_GAP,eventually
7,PLUS_FILLER_MINUS_GAP,us
7,MINUS_FILLER_MINUS_GAP,us
8,PLUS_FILLER_PLUS_GAP,eventually
8,MINUS_FILLER_PLUS_GAP,eventually
8,PLUS_FILLER_MINUS_GAP,Kim
8,MINUS_FILLER_MINUS_GAP,Kim
9,PLUS_FILLER_PLUS_GAP,eventually
9,MINUS_FILLER_PLUS_GAP,eventually
9,PLUS_FILLER_MINUS_GAP,you
9,MINUS_FILLER_MINUS_GAP,you
10,PLUS_FILLER_PLUS_GAP,eventually
10,MINUS_FILLER_PLUS_GAP,eventually
10,PLUS_FILLER_MINUS_GAP,us
10,MINUS_FILLER_MINUS_GAP,us
11,PLUS_FILLER_PLUS_GAP,eventually
11,MINUS_FILLER_PLUS_GAP,eventually
11,PLUS_FILLER_MINUS_GAP,Kim
11,MINUS_FILLER_MINUS_GAP,Kim
12,PLUS_FILLER_PLUS_GAP,eventually
12,MINUS_FILLER_PLUS_GAP,eventually
12,PLUS_FILLER_MINUS_GAP,you
12,MINUS_FILLER_MINUS_GAP,you
13,PLUS_FILLER_PLUS_GAP,soon
13,MINUS_FILLER_PLUS_GAP,soon
13,PLUS_FILLER_MINUS_GAP,Kim
13,MINUS_FILLER_MINUS_GAP,Kim
14,PLUS_FILLER_PLUS_GAP,soon
14,MINUS_FILLER_PLUS_GAP,soon
14,PLUS_FILLER_MINUS_GAP,you
14,MINUS_FILLER_MINUS_GAP,you
15,PLUS_FILLER_PLUS_GAP,soon
15,MINUS_FILLER_PLUS_GAP,soon
15,PLUS_FILLER_MINUS_GAP,us
15,MINUS_FILLER_MINUS_GAP,us
16,PLUS_FILLER_PLUS_GAP,soon
16,MINUS_FILLER_PLUS_GAP,soon
16,PLUS_FILLER_MINUS_GAP,Kim
16,MINUS_FILLER_MINUS_GAP,Kim
17,PLUS_FILLER_PLUS_GAP,soon
17,MINUS_FILLER_PLUS_GAP,soon
17,PLUS_FILLER_MINUS_GAP,you
17,MINUS_FILLER_MINUS_GAP,you
18,PLUS_FILLER_PLUS_GAP,soon
18,MINUS_FILLER_PLUS_GAP,soon
18,PLUS_FILLER_MINUS_GAP,us
18,MINUS_FILLER_MINUS_GAP,us
19,PLUS_FILLER_PLUS_GAP,eventually
19,MINUS_FILLER_PLUS_GAP,eventually
19,PLUS_FILLER_MINUS_GAP,us
19,MINUS_FILLER_MINUS_GAP,us
