item_id,condition,critical_region
1,PFPG,soon
1,MFPG,soon
1,PFMG,Ben
1,MFMG,Ben
2,PFPG,eventually
2,MFPG,eventually
2,PFMG,Anna
2,MFMG,Anna
3,PFPG,soon
3,MFPG,soon
3,PFMG,Chris
3,MFMG,Chris
4,PFPG,eventually
4,MFPG,eventually
4,PFMG,Dana
4,MFMG,Dana
5,PFPG,soon
5,MFPG,soon
5,PFMG,Leo
5,MFMG,Leo
6,PFPG,eventually
6,MFPG,eventually
6,PFMG,Sara
6,MFMG,Sara
7,PFPG,soon
7,MFPG,soon
7,PFMG,Tom
7,MFMG,Tom
8,PFPG,eventually
8,MFPG,eventually
8,PFMG,Paul
8,MFMG,Paul
9,PFPG,soon
9,MFPG,soon
9,PFMG,Nina
9,MFMG,Nina
10,PFPG,eventually
10,MFPG,eventually
10,PFMG,Ben
10,MFMG,Ben
