item_id,condition,critical_region_text
1,plusF_plusG1_plusG2,severely
1,plusF_plusG1_minusG2,the campaign
1,plusF_minusG1_plusG2,severely
1,plusF_minusG1_minusG2,the campaign
1,minusF_plusG1_plusG2,severely
1,minusF_plusG1_minusG2,the campaign
1,minusF_minusG1_plusG2,severely
1,minusF_minusG1_minusG2,the campaign
2,plusF_plusG1_plusG2,greatly
2,plusF_plusG1_minusG2,the director
2,plusF_minusG1_plusG2,greatly
2,plusF_minusG1_minusG2,the director
2,minusF_plusG1_plusG2,greatly
2,minusF_plusG1_minusG2,the director
2,minusF_minusG1_plusG2,greatly
2,minusF_minusG1_minusG2,the director
3,plusF_plusG1_plusG2,immensely
3,plusF_plusG1_minusG2,the CEO
3,plusF_minusG1_plusG2,immensely
3,plusF_minusG1_minusG2,the CEO
3,minusF_plusG1_plusG2,immensely
3,minusF_plusG1_minusG2,the CEO
3,minusF_minusG1_plusG2,immensely
3,minusF_minusG1_minusG2,the CEO
4,plusF_plusG1_plusG2,deeply
4,plusF_plusG1_minusG2,the lawyer
4,plusF_minusG1_plusG2,deeply
4,plusF_minusG1_minusG2,the lawyer
4,minusF_plusG1_plusG2,deeply
4,minusF_plusG1_minusG2,the lawyer
4,minusF_minusG1_plusG2,deeply
4,minusF_minusG1_minusG2,the lawyer
5,plusF_plusG1_plusG2,soon
5,plusF_plusG1_minusG2,Leo
5,plusF_minusG1_plusG2,soon
5,plusF_minusG1_minusG2,Leo
5,minusF_plusG1_plusG2,soon
5,minusF_plusG1_minusG2,Leo
5,minusF_minusG1_plusG2,soon
5,minusF_minusG1_minusG2,Leo
6,plusF_plusG1_plusG2,eventually
6,plusF_plusG1_minusG2,Sara
6,plusF_minusG1_plusG2,eventually
6,plusF_minusG1_minusG2,Sara
6,minusF_plusG1_plusG2,eventually
6,minusF_plusG1_minusG2,Sara
6,minusF_minusG1_plusG2,eventually
6,minusF_minusG1_minusG2,Sara
7,plusF_plusG1_plusG2,soon
7,plusF_plusG1_minusG2,Tom
7,plusF_minusG1_plusG2,soon
7,plusF_minusG1_minusG2,Tom
7,minusF_plusG1_plusG2,soon
7,minusF_plusG1_minusG2,Tom
7,minusF_minusG1_plusG2,soon
7,minusF_minusG1_minusG2,Tom
8,plusF_plusG1_plusG2,eventually
8,plusF_plusG1_minusG2,Paul
8,plusF_minusG1_plusG2,eventually
8,plusF_minusG1_minusG2,Paul
8,minusF_plusG1_plusG2,eventually
8,minusF_plusG1_minusG2,Paul
8,minusF_minusG1_plusG2,eventually
8,minusF_minusG1_minusG2,Paul
9,plusF_plusG1_plusG2,soon
9,plusF_plusG1_minusG2,Nina
9,plusF_minusG1_plusG2,soon
9,plusF_minusG1_minusG2,Nina
9,minusF_plusG1_plusG2,soon
9,minusF_plusG1_minusG2,Nina
9,minusF_minusG1_plusG2,soon
9,minusF_minusG1_minusG2,Nina
10,plusF_plusG1_plusG2,eventually
10,plusF_plusG1_minusG2,Ben
10,plusF_minusG1_plusG2,eventually
10,plusF_minusG1_minusG2,Ben
10,minusF_plusG1_plusG2,eventually
10,minusF_plusG1_minusG2,Ben
10,minusF_minusG1_plusG2,eventually
10,minusF_minusG1_minusG2,Ben
11,plusF_plusG1_plusG2,eventually
11,plusF_plusG1_minusG2,the judges
11,plusF_minusG1_plusG2,eventually
11,plusF_minusG1_minusG2,the judges
11,minusF_plusG1_plusG2,eventually
11,minusF_plusG1_minusG2,the judges
11,minusF_minusG1_plusG2,eventually
11,minusF_minusG1_minusG2,the judges
12,plusF_plusG1_plusG2,yesterday
12,plusF_plusG1_minusG2,the new hire
12,plusF_minusG1_plusG2,yesterday
12,plusF_minusG1_minusG2,the new hire
12,minusF_plusG1_plusG2,yesterday
12,minusF_plusG1_minusG2,the new hire
12,minusF_minusG1_plusG2,yesterday
12,minusF_minusG1_minusG2,the new hire
13,plusF_plusG1_plusG2,greatly
13,plusF_plusG1_minusG2,the board
13,plusF_minusG1_plusG2,greatly
13,plusF_minusG1_minusG2,the board
13,minusF_plusG1_plusG2,greatly
13,minusF_plusG1_minusG2,the board
13,minusF_minusG1_plusG2,greatly
13,minusF_minusG1_minusG2,the board
14,plusF_plusG1_plusG2,soon
14,plusF_plusG1_minusG2,the defendant
14,plusF_minusG1_plusG2,soon
14,plusF_minusG1_minusG2,the defendant
14,minusF_plusG1_plusG2,soon
14,minusF_plusG1_minusG2,the defendant
14,minusF_minusG1_plusG2,soon
14,minusF_minusG1_minusG2,the defendant
15,plusF_plusG1_plusG2,eventually
15,plusF_plusG1_minusG2,the general
15,plusF_minusG1_plusG2,eventually
15,plusF_minusG1_minusG2,the general
15,minusF_plusG1_plusG2,eventually
15,minusF_plusG1_minusG2,the general
15,minusF_minusG1_plusG2,eventually
15,minusF_minusG1_minusG2,the general
16,plusF_plusG1_plusG2,immensely
16,plusF_plusG1_minusG2,the freshmen
16,plusF_minusG1_plusG2,immensely
16,plusF_minusG1_minusG2,the freshmen
16,minusF_plusG1_plusG2,immensely
16,minusF_plusG1_minusG2,the freshmen
16,minusF_minusG1_plusG2,immensely
16,minusF_minusG1_minusG2,the freshmen
17,plusF_plusG1_plusG2,today
17,plusF_plusG1_minusG2,the team
17,plusF_minusG1_plusG2,today
17,plusF_minusG1_minusG2,the team
17,minusF_plusG1_plusG2,today
17,minusF_plusG1_minusG2,the team
17,minusF_minusG1_plusG2,today
17,minusF_minusG1_minusG2,the team
18,plusF_plusG1_plusG2,greatly
18,plusF_plusG1_minusG2,the celebrity
18,plusF_minusG1_plusG2,greatly
18,plusF_minusG1_minusG2,the celebrity
18,minusF_plusG1_plusG2,greatly
18,minusF_plusG1_minusG2,the celebrity
18,minusF_minusG1_plusG2,greatly
18,minusF_minusG1_minusG2,the celebrity
19,plusF_plusG1_plusG2,soon
19,plusF_plusG1_minusG2,the suspect
19,plusF_minusG1_plusG2,soon
19,plusF_minusG1_minusG2,the suspect
19,minusF_plusG1_plusG2,soon
19,minusF_plusG1_minusG2,the suspect
19,minusF_minusG1_plusG2,soon
19,minusF_minusG1_minusG2,the suspect
20,plusF_plusG1_plusG2,eventually
20,plusF_plusG1_minusG2,the new actor
20,plusF_minusG1_plusG2,eventually
20,plusF_minusG1_minusG2,the new actor
20,minusF_plusG1_plusG2,eventually
20,minusF_plusG1_minusG2,the new actor
20,minusF_minusG1_plusG2,eventually
20,minusF_minusG1_minusG2,the new actor
21,plusF_plusG1_plusG2,highly
21,plusF_plusG1_minusG2,the lead actress
21,plusF_minusG1_plusG2,highly
21,plusF_minusG1_minusG2,the lead actress
21,minusF_plusG1_plusG2,highly
21,minusF_plusG1_minusG2,the lead actress
21,minusF_minusG1_plusG2,highly
21,minusF_minusG1_minusG2,the lead actress
22,plusF_plusG1_plusG2,directly
