sentence_type,item_id,condition,full_sentence
basic_object,1,what_nogap,I know what with gusto our uncle grabbed the food in front of the guests at the holiday party .
basic_object,1,that_nogap,I know that with gusto our uncle grabbed the food in front of the guests at the holiday party .
basic_object,1,what_gap,I know what with gusto our uncle grabbed in front of the guests at the holiday party .
basic_object,1,that_gap,I know that with gusto our uncle grabbed in front of the guests at the holiday party .
basic_object,2,what_nogap,My neighbor told me what with skill the dog caught the mouse for his neighbors yesterday .
basic_object,2,that_nogap,My neighbor told me that with skill the dog caught the mouse for his neighbors yesterday .
basic_object,2,what_gap,My neighbor told me what with skill the dog caught for his neighbors yesterday .
basic_object,2,that_gap,My neighbor told me that with skill the dog caught for his neighbors yesterday .
basic_object,3,what_nogap,I know what with passion the committee delivered the report to the president by the deadline .
basic_object,3,that_nogap,I know that with passion the committee delivered the report to the president by the deadline .
basic_object,3,what_gap,I know what with passion the committee delivered to the president by the deadline .
basic_object,3,that_gap,I know that with passion the committee delivered to the president by the deadline .
basic_object,4,what_nogap,You remember what without thinking the businessman showed the presentation to the visitors after lunch .
basic_object,4,that_nogap,You remember that without thinking the businessman showed the presentation to the visitors after lunch .
basic_object,4,what_gap,You remember what without thinking the businessman showed to the visitors after lunch .
basic_object,4,that_gap,You remember that without thinking the businessman showed to the visitors after lunch .
basic_object,5,what_nogap,She told me what secretly the star student stole answers to the test from the teacher last year .
basic_object,5,that_nogap,She told me that secretly the star student stole answers to the test from the teacher last year .
basic_object,5,what_gap,She told me what secretly the star student stole from the teacher last year .
basic_object,5,that_gap,She told me that secretly the star student stole from the teacher last year .
basic_object,6,what_nogap,She knows what with skill the collector forged the painting with a brush a short while ago .
basic_object,6,that_nogap,She knows that with skill the collector forged the painting with a brush a short while ago .
basic_object,6,what_gap,She knows what with skill the collector forged with a brush a short while ago .
basic_object,6,that_gap,She knows that with skill the collector forged with a brush a short while ago .
basic_object,7,what_nogap,We all remember what illegally the convict brought a gun into the prison two weeks ago .
basic_object,7,that_nogap,We all remember that illegally the convict brought a gun into the prison two weeks ago .
basic_object,7,what_gap,We all remember what illegally the convict brought into the prison two weeks ago .
basic_object,7,that_gap,We all remember that illegally the convict brought into the prison two weeks ago .
basic_object,8,what_nogap,My friend reported what illegally the company sold multiple assets to stock holders last quarter .
basic_object,8,that_nogap,My friend reported that illegally the company sold multiple assets to stock holders last quarter .
basic_object,8,what_gap,My friend reported what illegally the company sold to stock holders last quarter .
basic_object,8,that_gap,My friend reported that illegally the company sold to stock holders last quarter .
basic_object,9,what_nogap,I do not know what with malice her rival derailed the performance with a cruel plan last week .
basic_object,9,that_nogap,I do not know that with malice her rival derailed the performance with a cruel plan last week .
basic_object,9,what_gap,I do not know what with malice her rival derailed with a cruel plan last week .
basic_object,9,that_gap,I do not know that with malice her rival derailed with a cruel plan last week .
basic_object,10,what_nogap,She can guess what with much fanfare the movie star received a prize for her hard work during the award ceremony .
basic_object,10,that_nogap,She can guess that with much fanfare the movie star received a prize for her hard work during the award ceremony .
basic_object,10,what_gap,She can guess what with much fanfare the movie star received for her hard work during the award ceremony .
basic_object,10,that_gap,She can guess that with much fanfare the movie star received for her hard work during the award ceremony .
basic_object,11,what_nogap,The newspaper reported who brutally the suspect killed the witness with a gun in the middle of the night .
basic_object,11,that_nogap,The newspaper reported that brutally the suspect killed the witness with a gun in the middle of the night .
basic_object,11,what_gap,The newspaper reported who brutally the suspect killed with a gun in the middle of the night .
basic_object,11,that_gap,The newspaper reported that brutally the suspect killed with a gun in the middle of the night .
basic_object,12,what_nogap,We recall what clumsily the man placed a delicate plate next to the oven over an hour ago .
basic_object,12,that_nogap,We recall that clumsily the man placed a delicate plate next to the oven over an hour ago .
basic_object,12,what_gap,We recall what clumsily the man placed next to the oven over an hour ago .
basic_object,12,that_gap,We recall that clumsily the man placed next to the oven over an hour ago .
basic_object,13,what_nogap,I remember what with skill the nurse administered the new medicine to the patient without any delay .
basic_object,13,that_nogap,I remember that with skill the nurse administered the new medicine to the patient without any delay .
basic_object,13,what_gap,I remember what with skill the nurse administered to the patient without any delay .
basic_object,13,that_gap,I remember that with skill the nurse administered to the patient without any delay .
basic_object,14,what_nogap,Our friend knew what without tact the gossip column revealed family secrets to the public yesterday .
basic_object,14,that_nogap,Our friend knew that without tact the gossip column revealed family secrets to the public yesterday .
basic_object,14,what_gap,Our friend knew what without tact the gossip column revealed to the public yesterday .
basic_object,14,that_gap,Our friend knew that without tact the gossip column revealed to the public yesterday .
basic_object,15,what_nogap,The mayor told me what with public funds the workers repaired the bridge for the town over the summer .
basic_object,15,that_nogap,The mayor told me that with public funds the workers repaired the bridge for the town over the summer .
basic_object,15,what_gap,The mayor told me what with public funds the workers repaired for the town over the summer .
basic_object,15,that_gap,The mayor told me that with public funds the workers repaired for the town over the summer .
basic_object,16,what_nogap,My friend remembers what secretly the government collected sensitive data about foreign threats using illegal methods .
basic_object,16,that_nogap,My friend remembers that secretly the government collected sensitive data about foreign threats using illegal methods .
basic_object,16,what_gap,My friend remembers what secretly the government collected about foreign threats using illegal methods .
basic_object,16,that_gap,My friend remembers that secretly the government collected about foreign threats using illegal methods .
basic_object,17,what_nogap,The newspaper said what secretly the neighbors sold a convertible to the new couple last month .
basic_object,17,that_nogap,The newspaper said that secretly the neighbors sold a convertible to the new couple last month .
basic_object,17,what_gap,The newspaper said what secretly the neighbors sold to the new couple last month .
basic_object,17,that_gap,The newspaper said that secretly the neighbors sold to the new couple last month .
basic_object,18,what_nogap,Our neighbor said what we believe the student sent a package to her mother over a week ago .
basic_object,18,that_nogap,Our neighbor said that we believe the student sent a package to her mother over a week ago .
basic_object,18,what_gap,Our neighbor said what we believe the student sent to her mother over a week ago .
basic_object,18,that_gap,Our neighbor said that we believe the student sent to her mother over a week ago .
basic_object,19,what_nogap,My friend told me who recently the university hired a new administrator to help with increased enrollment for the following year .
basic_object,19,that_nogap,My friend told me that recently the university hired a new administrator to help with increased enrollment for the following year .
basic_object,19,what_gap,My friend told me who recently the university hired to help with increased enrollment for the following year .
basic_object,19,that_gap,My friend told me that recently the university hired to help with increased enrollment for the following year .
basic_object,20,what_nogap,She can not believe what recently my friend stole a candy bar from the store when he was young .
basic_object,20,that_nogap,She can not believe that recently my friend stole a candy bar from the store when he was young .
basic_object,20,what_gap,She can not believe what recently my friend stole from the store when he was young .
basic_object,20,that_gap,She can not believe that recently my friend stole from the store when he was young .
basic_object,21,what_nogap,Our neighbor reminded us what with effort the truck dragged the car out of the swamp last spring .
basic_object,21,that_nogap,Our neighbor reminded us that with effort the truck dragged the car out of the swamp last spring .
basic_object,21,what_gap,Our neighbor reminded us what with effort the truck dragged out of the swamp last spring .
basic_object,21,that_gap,Our neighbor reminded us that with effort the truck dragged out of the swamp last spring .
basic_object,22,what_nogap,The shop owner told me what with care the chef prepared a great meal for the guests yesterday evening .
basic_object,22,that_nogap,The shop owner told me that with care the chef prepared a great meal for the guests yesterday evening .
basic_object,22,what_gap,The shop owner told me what with care the chef prepared for the guests yesterday evening .
basic_object,22,that_gap,The shop owner told me that with care the chef prepared for the guests yesterday evening .
basic_object,23,what_nogap,My sister told me what we believe the newspaper published a long story about the mayor last month .
basic_object,23,that_nogap,My sister told me that we believe the newspaper published a long story about the mayor last month .
basic_object,23,what_gap,My sister told me what we believe the newspaper published about the mayor last month .
basic_object,23,that_gap,My sister told me that we believe the newspaper published about the mayor last month .
basic_object,24,what_nogap,We remember what warmly our new friend brought a large present to the birthday party last weekend .
basic_object,24,that_nogap,We remember that warmly our new friend brought a large present to the birthday party last weekend .
