item,wh_effect_plus_gap,wh_effect_minus_gap
1,-0.90959614,0.08746772
10,-7.99528319,5.43427875
11,-1.92406179,7.03328837
12,-2.55794736,2.38673263
13,-4.33578623,0.58184469
14,-0.87789724,5.08296088
15,-4.04738861,0.60792428
16,-4.75765911,10.78519427
17,-7.49219090,5.66548362
18,-2.44842516,9.56883212
19,-8.62882397,5.03720148
2,-2.72688262,4.04739870
20,-5.75985752,2.52054691
21,-1.26659248,0.48255841
22,-3.97971755,1.56237093
23,-6.26764578,10.28831135
24,-4.96119886,10.08049835
25,-5.85286951,1.59047895
26,-3.41415657,2.75186144
27,-3.54107190,4.00818481
28,-0.29511625,1.48249323
29,-7.83133388,3.18068091
3,-3.53963353,5.02582583
30,-5.01093288,2.06997739
31,-1.30098343,2.54835633
32,-5.21598890,7.29951610
33,0.70349850,4.40110713
34,-2.06741518,2.71200843
35,-0.20347482,3.18096799
36,-4.30411330,1.25203712
37,-0.20729364,1.72623799
38,-1.64323686,1.09099629
39,-3.12006751,1.30450794
4,-3.12825770,1.07262212
40,-9.38885879,1.62422647
41,-5.67885885,2.78474911
42,-0.10177925,0.81835433
43,-6.17517335,5.27723130
44,-9.55388724,0.43113353
45,-1.55463519,2.35418688
46,-5.26426148,5.40067695
47,-5.07708045,1.79416008
48,-0.88811297,-0.57374540
49,-3.01787133,2.17919663
5,-5.45311025,5.33326558
50,-2.89746688,1.85074258
6,-1.64407940,1.30736737
7,0.10874025,9.81625575
8,-5.13739520,6.01941423
9,-0.89216405,2.21380111
