sentence_type,item_id,wh_effect_plus_gap,wh_effect_minus_gap
basic_object,1,-0.90959614,0.08746772
basic_object,10,-7.99528319,5.43427875
basic_object,11,-1.92406179,7.03328837
basic_object,12,-2.55794736,2.38673263
basic_object,13,-4.33578623,0.58184469
basic_object,14,-0.87789724,5.08296088
basic_object,15,-4.04738861,0.60792428
basic_object,16,-4.75765911,10.78519427
basic_object,17,-7.49219090,5.66548362
basic_object,18,-2.44842516,9.56883212
basic_object,19,-8.62882397,5.03720148
basic_object,2,-2.72688262,4.04739870
basic_object,20,-5.75985752,2.52054691
basic_object,21,-1.26659248,0.48255841
basic_object,22,-3.97971755,1.56237093
basic_object,23,-6.26764578,10.28831135
basic_object,24,-4.96119886,10.08049835
basic_object,25,-5.85286951,1.59047895
basic_object,26,-3.41415657,2.75186144
basic_object,27,-3.54107190,4.00818481
basic_object,28,-0.29511625,1.48249323
basic_object,29,-7.83133388,3.18068091
basic_object,3,-3.53963353,5.02582583
basic_object,30,-5.01093288,2.06997739
basic_object,31,-1.30098343,2.54835633
basic_object,32,-5.21598890,7.29951610
basic_object,33,0.70349850,4.40110713
basic_object,34,-2.06741518,2.71200843
basic_object,35,-0.20347482,3.18096799
basic_object,36,-4.30411330,1.25203712
basic_object,37,-0.20729364,1.72623799
basic_object,38,-1.64323686,1.09099629
basic_object,39,-3.12006751,1.30450794
basic_object,4,-3.12825770,1.07262212
basic_object,40,-9.38885879,1.62422647
basic_object,41,-5.67885885,2.78474911
basic_object,42,-0.10177925,0.81835433
basic_object,43,-6.17517335,5.27723130
basic_object,44,-9.55388724,0.43113353
basic_object,45,-1.55463519,2.35418688
basic_object,46,-5.26426148,5.40067695
basic_object,47,-5.07708045,1.79416008
basic_object,48,-0.88811297,-0.57374540
basic_object,49,-3.01787133,2.17919663
basic_object,5,-5.45311025,5.33326558
basic_object,50,-2.89746688,1.85074258
basic_object,6,-1.64407940,1.30736737
basic_object,7,0.10874025,9.81625575
basic_object,8,-5.13739520,6.01941423
basic_object,9,-0.89216405,2.21380111
basic_pp,1,-5.91992308,-0.05031543
basic_pp,10,-8.34411386,0.87789580
basic_pp,11,-7.92195965,0.39810593
basic_pp,12,-2.95774413,1.23635502
basic_pp,13,-7.15589869,2.30838996
basic_pp,14,-1.27602192,0.74548670
basic_pp,15,0.63947025,-0.64103269
basic_pp,16,-0.50549871,0.98085807
basic_pp,17,-8.32320488,4.90941187
basic_pp,18,-5.50497803,6.52610460
basic_pp,19,-3.06492771,0.59382914
basic_pp,2,-5.74428796,-2.66125298
basic_pp,20,-2.18636971,0.07771654
basic_pp,21,-3.68821525,-0.17333981
basic_pp,22,0.25038405,0.56323248
basic_pp,23,-4.56153483,0.37891807
basic_pp,24,-1.89511844,-0.55687018
basic_pp,25,-2.53001245,0.89140231
basic_pp,26,-2.74738476,0.46054288
basic_pp,27,-7.03744476,-0.27865799
basic_pp,28,-6.55566686,2.67209627
basic_pp,29,-4.81065507,0.06222633
basic_pp,3,-5.22348515,2.36500709
basic_pp,30,-5.78788764,0.18358438
basic_pp,31,-3.06860514,-0.35716225
basic_pp,32,-1.83293539,0.56314446
basic_pp,33,-0.20732104,-1.00267737
basic_pp,34,-7.89608349,1.75122115
basic_pp,35,-4.50610504,0.18114768
basic_pp,36,-7.81628224,5.08336482
basic_pp,37,-1.84017339,0.20714649
basic_pp,38,-2.39125404,0.39673247
basic_pp,39,-2.29641993,-0.52041039
basic_pp,4,0.63007831,0.37263802
basic_pp,40,-2.40329478,0.42887140
basic_pp,41,-1.42930250,0.82847772
basic_pp,42,-0.14035548,-1.01023711
basic_pp,43,-6.82304586,2.51725470
basic_pp,44,-1.85673410,2.44068655
basic_pp,45,-9.86038924,0.28815669
basic_pp,46,-0.52691839,0.80935913
basic_pp,47,-8.49221084,1.95444638
basic_pp,48,-1.78994453,-0.69220509
basic_pp,49,-11.74687170,6.56892233
basic_pp,5,-4.53227985,3.75882939
basic_pp,50,-4.95056763,3.50833137
basic_pp,6,0.75685224,0.75316616
basic_pp,7,-7.29756845,0.56802221
basic_pp,8,-6.21973099,2.32755473
basic_pp,9,-3.37776603,0.93186991
basic_subject,1,-7.67965037,1.66498405
basic_subject,10,-7.45658663,-3.66983097
basic_subject,11,-4.46369846,4.16339571
basic_subject,12,3.18285937,0.50728331
basic_subject,13,-2.84353173,3.19539784
basic_subject,14,-8.03146742,-0.32926051
basic_subject,15,-0.87074004,-0.32991694
basic_subject,16,-0.98187661,3.40498536
basic_subject,17,-1.50424041,7.32590731
basic_subject,18,-7.96299134,3.24055563
basic_subject,19,5.41388050,8.29836312
basic_subject,2,-6.53229664,3.57814194
basic_subject,20,-9.54600868,9.17943140
basic_subject,21,-1.58080279,2.10341186
basic_subject,22,-3.47592411,1.14893492
basic_subject,23,-1.31359691,4.34616787
basic_subject,24,-1.50552729,1.91843672
basic_subject,25,-6.12236639,4.54346362
basic_subject,26,-1.44762906,6.01740310
basic_subject,27,-4.70360132,4.04029054
basic_subject,28,-7.07247341,3.06822571
basic_subject,29,-5.08043184,1.91661603
basic_subject,3,0.09754782,0.86577140
basic_subject,30,-4.87677379,6.60234526
basic_subject,31,-7.24378911,-1.66265843
basic_subject,32,-2.64159482,7.13395819
basic_subject,33,-6.32437399,3.36852269
basic_subject,34,-0.08139686,1.40747885
basic_subject,35,-5.46736120,1.09559272
