sentence_type,item_id,fillertype_effect_plus_gap,fillertype_effect_minus_gap
lan_parasitic_gap,1,-0.36019335,0.30357477
lan_parasitic_gap,10,-0.29227559,0.40450572
lan_parasitic_gap,100,0.36489653,-1.51475477
lan_parasitic_gap,1000,-2.46405965,-0.19562945
lan_parasitic_gap,1001,-2.46405965,-4.39580955
lan_parasitic_gap,1002,-2.46405965,2.02705290
lan_parasitic_gap,1003,-2.04282156,-4.39580955
lan_parasitic_gap,1004,-2.04282156,-0.19562945
lan_parasitic_gap,1005,-2.04282156,2.02705290
lan_parasitic_gap,1006,-2.26006257,-4.22169934
lan_parasitic_gap,1007,-2.26006257,-0.59869392
lan_parasitic_gap,1008,-2.26006257,-1.22944596
lan_parasitic_gap,1009,-0.86726891,0.26007175
lan_parasitic_gap,101,0.36489653,-1.20573670
lan_parasitic_gap,1010,-0.86726891,-2.39780532
lan_parasitic_gap,1011,-0.86726891,2.17324263
lan_parasitic_gap,1012,-0.55690625,-0.09069791
lan_parasitic_gap,1013,-0.55690625,-2.04086958
lan_parasitic_gap,1014,-0.55690625,0.51868061
lan_parasitic_gap,1015,0.07821427,0.51868061
lan_parasitic_gap,1016,0.07821427,-0.09069791
lan_parasitic_gap,1017,0.07821427,-2.04086958
lan_parasitic_gap,1018,0.11945659,2.17324263
lan_parasitic_gap,1019,0.11945659,0.26007175
lan_parasitic_gap,102,0.36489653,0.57879482
lan_parasitic_gap,1020,0.11945659,-2.39780532
lan_parasitic_gap,1021,-1.50746916,-0.11078023
lan_parasitic_gap,1022,-1.50746916,0.26034153
lan_parasitic_gap,1023,-1.50746916,-2.55366399
lan_parasitic_gap,1024,-1.78389675,0.27298675
lan_parasitic_gap,1025,-1.78389675,2.18403110
lan_parasitic_gap,1026,-1.78389675,-2.82867774
lan_parasitic_gap,1027,-1.03406754,0.26034153
lan_parasitic_gap,1028,-1.03406754,-2.55366399
lan_parasitic_gap,1029,-1.03406754,-0.11078023
lan_parasitic_gap,103,0.73950384,-2.10834154
lan_parasitic_gap,1030,-1.00149437,2.18403110
lan_parasitic_gap,1031,-1.00149437,-2.82867774
lan_parasitic_gap,1032,-1.00149437,0.27298675
lan_parasitic_gap,1033,-0.97185853,1.89681937
lan_parasitic_gap,1034,-0.97185853,-2.44859685
lan_parasitic_gap,1035,-0.97185853,0.19907028
lan_parasitic_gap,1036,-0.69520877,-0.47103705
lan_parasitic_gap,1037,-0.69520877,-2.41638002
lan_parasitic_gap,1038,-0.69520877,-0.16138419
lan_parasitic_gap,1039,-0.81755653,1.89681937
lan_parasitic_gap,104,0.73950384,0.54423217
lan_parasitic_gap,1040,-0.81755653,0.19907028
lan_parasitic_gap,1041,-0.81755653,-2.44859685
lan_parasitic_gap,1042,-0.82576979,-0.47103705
lan_parasitic_gap,1043,-0.82576979,-0.16138419
lan_parasitic_gap,1044,-0.82576979,-2.41638002
lan_parasitic_gap,1045,-1.79757061,-0.32210331
lan_parasitic_gap,1046,-1.79757061,-0.06021665
lan_parasitic_gap,1047,-1.79757061,-2.61735321
lan_parasitic_gap,1048,-2.05319598,0.35699201
lan_parasitic_gap,1049,-2.05319598,2.36472577
