sentence_type,item_id,wh_effect_plus_gap,wh_effect_minus_gap
lan_parasitic_gap,1,-0.36019335,0.30357477
lan_parasitic_gap,10,-0.29227559,0.40450572
lan_parasitic_gap,11,-0.29227559,0.30357477
lan_parasitic_gap,12,-0.29227559,-1.63427340
lan_parasitic_gap,13,-0.12134219,0.83394266
lan_parasitic_gap,14,-0.12134219,-2.43190054
lan_parasitic_gap,15,-0.12134219,-0.22906823
lan_parasitic_gap,16,0.21829419,-0.95322179
lan_parasitic_gap,17,0.21829419,-1.70321403
lan_parasitic_gap,18,0.21829419,-0.01627937
lan_parasitic_gap,19,0.73754033,-0.01627937
lan_parasitic_gap,2,-0.36019335,-1.63427340
lan_parasitic_gap,20,0.73754033,-0.95322179
lan_parasitic_gap,21,0.73754033,-1.70321403
lan_parasitic_gap,3,-0.36019335,0.40450572
lan_parasitic_gap,4,-0.28616145,-0.65016928
lan_parasitic_gap,5,-0.28616145,-0.94289354
lan_parasitic_gap,6,-0.28616145,0.43011789
lan_parasitic_gap,7,-0.60904092,0.43011789
lan_parasitic_gap,8,-0.60904092,-0.65016928
lan_parasitic_gap,9,-0.60904092,-0.94289354
