sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,1,22.97648529,23.33667864,19.50932122,19.20574645,-3.46716407,-4.13093219,0.66376812,False,True
lan_parasitic_gap,2,22.97648529,23.33667864,4.13821636,5.77248976,-18.83826893,-17.56418888,-1.27408005,False,False
lan_parasitic_gap,3,22.97648529,23.33667864,7.00875245,6.60424673,-15.96773284,-16.73243191,0.76469907,False,True
lan_parasitic_gap,4,22.97648529,23.26264674,19.50932122,20.15949050,-3.46716407,-3.10315624,-0.36400783,False,False
lan_parasitic_gap,5,22.97648529,23.26264674,4.13821636,5.08110990,-18.83826893,-18.18153684,-0.65673209,False,False
lan_parasitic_gap,6,22.97648529,23.26264674,7.00875245,6.57863456,-15.96773284,-16.68401218,0.71627934,False,True
lan_parasitic_gap,7,23.07982987,23.68887079,7.00875245,6.57863456,-16.07107742,-17.11023623,1.03915881,False,True
lan_parasitic_gap,8,23.07982987,23.68887079,19.50932122,20.15949050,-3.57050865,-3.52938029,-0.04112836,False,False
lan_parasitic_gap,9,23.07982987,23.68887079,4.13821636,5.08110990,-18.94161351,-18.60776089,-0.33385262,False,False
lan_parasitic_gap,10,23.07982987,23.37210546,7.00875245,6.60424673,-16.07107742,-16.76785873,0.69678131,False,True
lan_parasitic_gap,11,23.07982987,23.37210546,19.50932122,19.20574645,-3.57050865,-4.16635901,0.59585036,False,True
lan_parasitic_gap,12,23.07982987,23.37210546,4.13821636,5.77248976,-18.94161351,-17.59961570,-1.34199781,False,False
lan_parasitic_gap,13,24.52285673,24.64419892,18.80558757,17.97164491,-5.71726916,-6.67255401,0.95528485,False,True
lan_parasitic_gap,14,24.52285673,24.64419892,4.97323093,7.40513147,-19.54962580,-17.23906745,-2.31055835,False,False
lan_parasitic_gap,15,24.52285673,24.64419892,7.29083973,7.51990796,-17.23201700,-17.12429096,-0.10772604,False,False
lan_parasitic_gap,16,24.52285673,24.30456254,18.80558757,19.75880936,-5.71726916,-4.54575318,-1.17151598,False,False
lan_parasitic_gap,17,24.52285673,24.30456254,4.97323093,6.67644496,-19.54962580,-17.62811758,-1.92150822,False,False
lan_parasitic_gap,18,24.52285673,24.30456254,7.29083973,7.30711910,-17.23201700,-16.99744344,-0.23457356,False,False
lan_parasitic_gap,19,27.58580650,26.84826617,7.29083973,7.30711910,-20.29496677,-19.54114707,-0.75381970,False,False
lan_parasitic_gap,20,27.58580650,26.84826617,18.80558757,19.75880936,-8.78021893,-7.08945681,-1.69076212,False,False
lan_parasitic_gap,21,27.58580650,26.84826617,4.97323093,6.67644496,-22.61257557,-20.17182121,-2.44075436,False,False
