sentence_type,item_id,MFMG,MFPG,PFMG,PFPG,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did,avg_surprisal_plus_gap_words,avg_surprisal_minus_gap_words,diff_gapped_vs_ungapped_words
subject_gap,1,25.40158785,23.03160779,23.89836742,20.55230029,3.34606713,2.36998006,0.97608707,True,True,21.79195404,24.64997763,-2.85802359
subject_gap,2,19.00034995,25.91635442,19.04349663,19.61956044,-0.57606381,-6.91600447,6.33994066,False,True,22.76795743,19.02192329,3.74603414
subject_gap,3,23.01564004,21.37627969,22.85203265,19.83665863,3.01537402,1.63936035,1.37601367,True,True,20.60646916,22.93383635,-2.32736719
subject_gap,4,25.54243961,23.16402699,26.25569505,18.75133646,7.50435859,2.37841262,5.12594597,True,True,20.95768173,25.89906733,-4.94138561
subject_gap,5,26.37962400,21.97915165,23.80184824,21.39539252,2.40645572,4.40047235,-1.99401663,True,False,21.68727209,25.09073612,-3.40346404
subject_gap,6,27.12763108,23.41679438,26.22638093,19.38386879,6.84251214,3.71083670,3.13167544,True,True,21.40033158,26.67700601,-5.27667442
subject_gap,7,13.43659797,20.89836821,16.63594302,17.42630186,-0.79035884,-7.46177024,6.67141140,False,True,19.16233503,15.03627050,4.12606454
subject_gap,8,17.75626641,26.34356528,19.32778691,21.84552780,-2.51774089,-8.58729887,6.06955798,False,True,24.09454654,18.54202666,5.55251988
subject_gap,9,29.60230176,20.67999179,27.71977516,18.05487255,9.66490261,8.92230997,0.74259264,True,True,19.36743217,28.66103846,-9.29360629
subject_gap,10,23.15931515,26.36043327,19.33474214,23.96408651,-4.62934437,-3.20111812,-1.42822625,False,False,25.16225989,21.24702865,3.91523125
