sentence_type,item_id,minusF_minusG1_minusG2,minusF_minusG1_plusG2,minusF_plusG1_minusG2,minusF_plusG1_plusG2,plusF_minusG1_minusG2,plusF_minusG1_plusG2,plusF_plusG1_minusG2,plusF_plusG1_plusG2,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
subject_pg_full,1,9.29540678,25.52769527,11.09084941,24.63574761,10.41187095,23.18840565,11.44854545,26.39843674,-14.94989129,-16.23228849,1.28239720,False,True
subject_pg_full,2,12.10602342,27.30544325,15.07660464,25.83294645,13.54812551,23.50059909,16.06683301,25.50369315,-9.43686014,-15.19941983,5.76255969,False,True
subject_pg_full,3,18.86743878,26.36907934,17.08559499,24.77493595,21.62094778,26.95995818,17.47871497,26.56651216,-9.08779719,-7.50164056,-1.58615663,False,False
subject_pg_full,4,18.07632109,21.74692536,19.32482505,21.96013405,21.28948571,22.79079746,20.67976529,22.78399515,-2.10422986,-3.67060427,1.56637441,False,True
subject_pg_full,5,26.37962400,21.97915165,22.77912173,22.03975206,29.82631334,21.19753699,23.80184824,21.39539252,2.40645572,4.40047235,-1.99401663,True,False
subject_pg_full,6,27.12763108,23.41679438,27.45243656,22.35609036,28.33001785,20.40678718,26.22638093,19.38386879,6.84251214,3.71083670,3.13167544,True,True
subject_pg_full,7,13.43659797,20.89836821,15.00244290,20.27916494,20.96023818,15.95923248,16.63594302,17.42630186,-0.79035884,-7.46177024,6.67141140,False,True
subject_pg_full,8,17.75626641,26.34356528,18.28237113,25.16050197,20.82492493,21.86292526,19.32778691,21.84552780,-2.51774089,-8.58729887,6.06955798,False,True
subject_pg_full,9,29.60230176,20.67999179,28.34532196,20.96950894,29.40503196,16.86771775,27.71977516,18.05487255,9.66490261,8.92230997,0.74259264,True,True
subject_pg_full,10,23.15931515,26.36043327,21.41814237,24.86197951,21.89543495,24.40491785,19.33474214,23.96408651,-4.62934437,-3.20111812,-1.42822625,False,False
