sentence_type,item_id,minusF_minusG1_minusG2,minusF_minusG1_plusG2,minusF_plusG1_minusG2,minusF_plusG1_plusG2,plusF_minusG1_minusG2,plusF_minusG1_plusG2,plusF_plusG1_minusG2,plusF_plusG1_plusG2,P1_filler_requires_gap,P2_pg_vs_simple_extraction,P3_pg_requires_filler,P4_pg_requires_host_gap,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
subject_pg_full,1,9.29540678,25.52769527,11.09084941,24.63574761,10.41187095,23.18840565,11.44854545,26.39843674,-15.98656579,3.21003109,-1.76268913,-14.94989129,-14.94989129,-16.23228849,1.28239720,False,True
subject_pg_full,2,12.10602342,27.30544325,15.07660464,25.83294645,13.54812551,23.50059909,16.06683301,25.50369315,-11.95556764,2.00309406,0.32925330,-9.43686014,-9.43686014,-15.19941983,5.76255969,False,True
subject_pg_full,3,18.86743878,26.36907934,17.08559499,24.77493595,21.62094778,26.95995818,17.47871497,26.56651216,-4.94556438,-0.39344602,-1.79157621,-9.08779719,-9.08779719,-7.50164056,-1.58615663,False,False
subject_pg_full,4,18.07632109,21.74692536,19.32482505,21.96013405,21.28948571,22.79079746,20.67976529,22.78399515,-1.49450944,-0.00680231,-0.82386110,-2.10422986,-2.10422986,-3.67060427,1.56637441,False,True
subject_pg_full,5,26.37962400,21.97915165,22.77912173,22.03975206,29.82631334,21.19753699,23.80184824,21.39539252,8.43092082,0.19785553,0.64435954,2.40645572,2.40645572,4.40047235,-1.99401663,True,False
subject_pg_full,6,27.12763108,23.41679438,27.45243656,22.35609036,28.33001785,20.40678718,26.22638093,19.38386879,8.94614906,-1.02291839,2.97222157,6.84251214,6.84251214,3.71083670,3.13167544,True,True
subject_pg_full,7,13.43659797,20.89836821,15.00244290,20.27916494,20.96023818,15.95923248,16.63594302,17.42630186,3.53393632,1.46706938,2.85286308,-0.79035884,-0.79035884,-7.46177024,6.67141140,False,True
subject_pg_full,8,17.75626641,26.34356528,18.28237113,25.16050197,20.82492493,21.86292526,19.32778691,21.84552780,-1.02060287,-0.01739746,3.31497417,-2.51774089,-2.51774089,-8.58729887,6.06955798,False,True
subject_pg_full,9,29.60230176,20.67999179,28.34532196,20.96950894,29.40503196,16.86771775,27.71977516,18.05487255,11.35015941,1.18715480,2.91463639,9.66490261,9.66490261,8.92230997,0.74259264,True,True
subject_pg_full,10,23.15931515,26.36043327,21.41814237,24.86197951,21.89543495,24.40491785,19.33474214,23.96408651,-2.06865156,-0.44083134,0.89789300,-4.62934437,-4.62934437,-3.20111812,-1.42822625,False,False
subject_pg_full,11,9.14262393,22.88438364,15.73578499,21.78841006,13.37081973,22.93104184,16.24843080,21.80734687,-8.43652714,-1.12369497,-0.01893681,-5.55891607,-5.55891607,-13.74175971,8.18284364,False,True
subject_pg_full,12,36.39407143,24.68279823,34.55875992,23.43329304,38.41060708,21.14260782,34.49158947,18.85146527,19.55914181,-2.29114255,4.58182777,15.64012420,15.64012420,11.71127320,3.92885100,True,True
subject_pg_full,13,14.53101201,25.33488917,18.49785928,25.00922674,18.68480225,25.46615422,17.99442218,24.42480684,-5.74000459,-1.04134738,0.58441990,-6.43038466,-6.43038466,-10.80387716,4.37349250,False,True
subject_pg_full,14,13.03612603,26.27391918,13.62854566,25.60541036,17.40891017,18.81142038,14.45236348,21.79642134,-4.38751117,2.98500096,3.80898902,-7.34405786,-7.34405786,-13.23779315,5.89373529,False,True
subject_pg_full,15,20.40706995,20.85459972,21.83909049,20.18842663,28.92497086,14.56192463,26.25864392,14.60514489,14.31982597,0.04322026,5.58328174,11.65349903,11.65349903,-0.44752977,12.10102880,True,True
subject_pg_full,16,27.16928602,28.57823498,27.73794880,27.10483794,28.30840773,27.57248321,29.56223090,27.44532551,0.86308222,-0.12715770,-0.34048757,2.11690539,2.11690539,-1.40894896,3.52585435,True,True
subject_pg_full,17,15.49491551,18.62016519,15.96878457,18.87917078,17.89624389,16.09492661,17.39700505,15.61070766,2.28553623,-0.48421895,3.26846312,1.78629739,1.78629739,-3.12524968,4.91154707,True,True
subject_pg_full,18,26.06141453,19.78375789,26.35304379,18.54288290,28.04849178,22.15778183,25.45906770,21.54774688,6.50074490,-0.61003495,-3.00486398,3.91132082,3.91132082,6.27765664,-2.36633582,True,False
subject_pg_full,19,27.66000286,10.59224102,26.50412570,12.12951626,31.55795279,9.84484708,28.17288672,9.61353402,21.94441877,-0.23131306,2.51598224,18.55935270,18.55935270,17.06776184,1.49159086,True,True
subject_pg_full,20,30.26144748,24.51715664,28.77576589,24.31085846,32.61641919,17.45357745,29.47694888,16.60077300,16.01564619,-0.85280445,7.71008546,12.87617588,12.87617588,5.74429084,7.13188504,True,True
subject_pg_full,21,21.25087198,20.04846790,29.07693281,18.14597441,26.69819703,17.61950181,27.98607936,16.73341438,9.96478265,-0.88608743,1.41256003,11.25266498,11.25266498,1.20240408,10.05026090,True,True
subject_pg_full,22,26.92570282,22.19126966,24.24173317,22.29498357,32.84286893,17.87285060,28.45303934,18.51130086,14.33156807,0.63845026,3.78368271,9.94173848,9.94173848,4.73443316,5.20730532,True,True
subject_pg_full,23,18.87430169,25.63682793,19.23967430,26.38814023,25.54998202,19.14937025,21.38359849,21.15925796,4.39072406,2.00988771,5.22888227,0.22434053,0.22434053,-6.76252624,6.98686677,True,True
subject_pg_full,24,17.55899806,23.76397028,17.21067666,22.23878482,23.04024087,18.87370008,18.59777888,19.51586384,3.52437703,0.64216376,2.72292098,-0.91808496,-0.91808496,-6.20497222,5.28688726,False,True
subject_pg_full,25,16.82850962,20.88174115,17.34520796,21.43986070,24.51442851,15.44744075,20.60192178,15.40084458,9.11358393,-0.04659617,6.03901612,5.20107720,5.20107720,-4.05323153,9.25430873,True,True
subject_pg_full,26,14.51521738,23.33787752,17.24173932,23.26514116,22.71237255,17.50634979,23.20185878,18.59033169,4.12204086,1.08398190,4.67480947,4.61152709,4.61152709,-8.82266014,13.43418723,True,True
subject_pg_full,27,14.94489524,24.19128790,13.88241960,24.68366240,20.02676832,21.48146370,16.10200014,22.76124962,-2.73448130,1.27978592,1.92241278,-6.65924948,-6.65924948,-9.24639266,2.58714318,False,True
subject_pg_full,28,11.14703228,23.21825934,12.23364423,23.29819186,15.03043551,19.45058622,13.52516213,20.30652709,-5.27609158,0.85594087,2.99166477,-6.78136496,-6.78136496,-12.07122706,5.28986210,False,True
subject_pg_full,29,18.97616461,27.73888077,18.47847810,27.23809968,24.47444421,23.10110241,20.80362642,22.87113393,1.60331028,-0.22996848,4.36696575,-2.06750751,-2.06750751,-8.76271616,6.69520865,False,True
subject_pg_full,30,15.24190143,13.50750499,15.15164931,13.11028344,21.78953103,7.54867241,18.67185983,6.63756433,15.15196670,-0.91110808,6.47271911,12.03429550,12.03429550,1.73439644,10.29989906,True,True
subject_pg_full,31,14.78063864,22.65265364,16.17891166,21.93110702,19.56521700,20.80044239,17.93049347,19.44477793,0.12043907,-1.35566446,2.48632909,-1.51428446,-1.51428446,-7.87201500,6.35773054,False,True
subject_pg_full,32,15.19946888,23.28386878,16.29399545,22.42669441,18.99957090,17.63436445,17.48784290,17.99515507,1.00441583,0.36079062,4.43153934,-0.50731217,-0.50731217,-8.08439990,7.57708773,False,True
subject_pg_full,33,26.64220027,26.59244172,26.40312550,26.07074155,35.32382975,22.68719753,31.01812372,24.04782919,11.27600056,1.36063166,2.02291236,6.97029453,6.97029453,0.04975855,6.92053598,True,True
subject_pg_full,34,17.69565302,25.08818976,20.12859230,23.94565031,23.85702844,18.01659207,22.29419730,19.35754970,4.49947874,1.34095763,4.58810061,2.93664760,2.93664760,-7.39253674,10.32918434,True,True
subject_pg_full,35,27.23650551,25.03738526,27.04404566,23.64191972,26.99679018,20.07348712,25.88531052,21.99711176,4.99967842,1.92362464,1.64480796,3.88819876,3.88819876,2.19912025,1.68907851,True,True
subject_pg_full,36,35.25667375,21.35424108,34.51399309,20.67101245,38.39440417,16.66758565,37.05039236,16.40656461,21.98783956,-0.26102104,4.26444784,20.64382775,20.64382775,13.90243267,6.74139508,True,True
subject_pg_full,37,20.69256776,24.04902085,23.51026803,22.99907068,23.89718874,20.85822666,22.12090799,24.23825483,-0.34106609,3.38002817,-1.23918415,-2.11734684,-2.11734684,-3.35645309,1.23910625,False,True
subject_pg_full,38,29.43889779,25.32245747,28.61905603,25.73857111,38.44334039,18.85857487,34.07229613,20.00540922,18.43793117,1.14683435,5.73316189,14.06688691,14.06688691,4.11644032,9.95044659,True,True
subject_pg_full,39,26.85706662,20.64285104,25.30535143,22.10063668,24.60009718,19.45798148,24.55673409,19.22834915,5.37174803,-0.22963233,2.87228753,5.32838494,5.32838494,6.21421558,-0.88583064,True,False
subject_pg_full,40,10.12344159,24.72073822,12.34383582,21.99424224,13.99421980,16.50278948,14.39314230,16.49946983,-2.50525003,-0.00331965,5.49477241,-2.10632753,-2.10632753,-14.59729663,12.49096910,False,True
